,words,count
0,-,10
1,Sales,7
2,Manager,7
3,Engineer,7
4,Mechanical,5
5,Construction,5
6,Site,3
7,Registered,3
8,Graduate,3
9,Territory,3
10,Nurse,3
11,Coordinator,2
12,Experience,2
13,Labourer,2
14,Supervisor,2
15,WA,2
16,Civil,2
17,Project,2
18,Starts,2
19,Immediate,2
20,Public,2
21,Labourers,2
22,Representative,2
23,RN,2
24,Engineering,2
25,Consultant,2
26,Health,2
27,Trade,1
28,Rotating,1
29,Utility,1
30,LEVEL,1
31,(Residential),1
32,/,1
33,Superintendent,1
34,Southern,1
35,For,1
36,Rounder/Handyman,1
37,Director,1
38,Office,1
39,Regional,1
40,REPRESENTATIVE,1
41,ASAP,1
42,SALES,1
43,Entry,1
44,Level,1
45,FIFO,1
46,ENTRY,1
47,Necessary-,1
48,Available,1
49,Shift,1
50,midwife,1
51,Underground,1
52,ENGINEER,1
53,(No,1
54,South,1
55,Mid-year,1
56,Springs,1
57,Week,1
58,Clinical,1
59,Suburbs,1
60,-PERTH,1
61,Alice,1
62,Per,1
63,Staff,1
64,Roles,1
65,Midwife,1
66,NORTH,1
67,|,1
68,Australia,1
69,Practice,1
70,Area,1
71,RN's,1
72,Nutrition,1
73,Assistants,1
74,Start,1
75,$900-,1
76,development,1
77,Role,1
78,2023,1
79,ONLY!,1
80,Needed,1
81,Carpenter/All,1
82,No,1
83,Necessary!),1
84,and,1
85,Medicine,1
86,Cleaning,1
87,Western,1
88,ESO,1
89,GRADUATE,1
90,$1500,1
91,intake,1
